RabA,RabB,RabC,RabD,RabE,area,memCis,memL,memLS,memMedial,memS,memTrans,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
1969778.59,0.0,0.0,0.0,0.0,1969778.59,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.900663555E7,
1969778.59,0.0,0.0,0.0,0.0,1969778.59,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.900663555E7,
1923597.18,0.0,0.0,0.0,0.0,1923597.18,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.860254819E7,
1908203.38,0.0,0.0,0.0,0.0,1908203.38,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.846785241E7,
1892809.57,15393.8,0.0,0.0,0.0,1908203.38,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.846785241E7,
1877415.77,15393.8,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1877415.77,15393.8,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1862021.97,15393.8,0.0,0.0,0.0,1877415.77,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.819846084E7,
1862021.97,15393.8,0.0,0.0,0.0,1877415.77,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.819846084E7,
1862021.97,15393.8,0.0,0.0,0.0,1877415.77,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.819846084E7,
1846628.16,15393.8,0.0,0.0,0.0,1862021.97,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.806376505E7,
1815840.55,15393.8,0.0,0.0,0.0,1831234.36,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.779437348E7,
1815840.55,15393.8,0.0,0.0,0.0,1831234.36,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.779437348E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1785052.95,107756.63,0.0,0.0,0.0,1892809.57,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.833315662E7,
1769659.14,107756.63,0.0,0.0,0.0,1877415.77,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.819846084E7,
1754265.34,107756.63,0.0,0.0,0.0,1862021.97,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.806376505E7,
1754265.34,107756.63,0.0,0.0,0.0,1862021.97,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.806376505E7,
